id,English,Russian,Ukrainian
Title text,Deadline Runner, На Грани,На Межі
Start Game text,Start Game,Начать Игру,Почати Гру
Tree text,Family Tree,Древо Предков,Дерево Предків
Shop text,Upgrade Shop,Магазин Улучшений,Магазин Покращень
Power Up category,Power Up,Способности,Здібності
Character category,Characters,Персонажи,Персонажі
Consumables category,Consumables,Расходуемые,Витратне
Special category,Special,Кристаллы,Кристали
Shield Title,Shield,Щит,Щит
Pause title,Paused,Пауза,Пауза
Level Up,Level UP!,Уровень Повишен!,Новий Рівень!
Menu button,Menu,Меню,Меню
Restart Button,Restart,Рестарт,Рестарт
Shield Description,Protecting you from all damage for 6 seconds.,Защищает вас от всех повреждений в течение 6 секунд.,Захищає вас від усіх пошкоджень протягом 6 секунд.
Shield Description_1,Protecting you from all damage for 7 seconds.,Защищает вас от всех повреждений в течение 7 секунд.,Захищає вас від усіх пошкоджень протягом 7 секунд.
Shield Description_2,Protecting you from all damage for 8 seconds.,Защищает вас от всех повреждений в течение 8 секунд.,Захищає вас від усіх пошкоджень протягом 8 секунд.
Shield Description_3,Protecting you from all damage for 9 seconds.,Защищает вас от всех повреждений в течение 9 секунд.,Захищає вас від усіх пошкоджень протягом 9 секунд.
Shield Description_4,Protecting you from all damage for 10 seconds.,Защищает вас от всех повреждений в течение 10 секунд.,Захищає вас від усіх пошкоджень протягом 10 секунд.
Shield Description_5,Protecting you from all damage for 11 seconds.,Защищает вас от всех повреждений в течение 11 секунд.,Захищає вас від усіх пошкоджень протягом 11 секунд.
Machine's world Title,Machine's world,Мир Машин,Світ Машин
Machine's world Description,Destroy every hostile object on your path for 5 seconds.,Уничтожить все враждебные объект на вашем пути за 5 секунд.,Знищує всі перешкоди на вашому шляху протягом 5 секунд.
Machine's world Description_1,Destroy every hostile object on your path for 6 seconds.,Уничтожить все враждебные объект на вашем пути за 6 секунд.,Знищує всі перешкоди на вашому шляху протягом 6 секунд.
Machine's world Description_2,Destroy every hostile object on your path for 7 seconds.,Уничтожить все враждебные объект на вашем пути за 7 секунд.,Знищує всі перешкоди на вашому шляху протягом 7 секунд.
Machine's world Description_3,Destroy every hostile object on your path for 8 seconds.,Уничтожить все враждебные объект на вашем пути за 8 секунд.,Знищує всі перешкоди на вашому шляху протягом 8 секунд.
Machine's world Description_4,Destroy every hostile object on your path for 9 seconds.,Уничтожить все враждебные объект на вашем пути за 9 секунд.,Знищує всі перешкоди на вашому шляху протягом 9 секунд.
Machine's world Description_5,Destroy every hostile object on your path for 10 seconds.,Уничтожить все враждебные объект на вашем пути за 10 секунд.,Знищує всі перешкоди на вашому шляху протягом 10 секунд.
Afterlife Title,AfterLife,Загробная жизнь,Потойбічне життя
Afterlife Description,Death won't stop you at least for 4 seconds.,Смерть не остановит вас еще 4 секунды.,"Смерть вас не зупинить, принаймні ще 4 секунди."
Afterlife Description_1,Death won't stop you at least for 5 seconds.,Смерть не остановит вас еще 5 секунд.,"Смерть вас не зупинить, принаймні ще 5 секунд."
Afterlife Description_2,Death won't stop you at least for 6 seconds.,Смерть не остановит вас еще 6 секунд.,"Смерть вас не зупинить, принаймні ще 6 секунд."
Afterlife Description_3,Death won't stop you at least for 7 seconds.,Смерть не остановит вас еще 7 секунд.,"Смерть вас не зупинить, принаймні ще 7 секунд."
Afterlife Description_4,Death won't stop you at least for 8 seconds.,Смерть не остановит вас еще 8 секунд.,"Смерть вас не зупинить, принаймні ще 8 секунд."
Afterlife Description_5,Death won't stop you at least for 10 seconds.,Смерть не остановит вас еще 10 секунд.,"Смерть вас не зупинить, принаймні ще 10 секунд."
Big Crystal Title,Big Crystal,Большой кристалл,Величезний кристал
Big Crystal Description,Big Green Crystal provides 20 crystal shards,Большой кристалл дает вам 20 хрустальных осколков,Величезний кристал дає вам 20 кришталевих шматочків
Big Crystal Description_1,Big Green Crystal provides 30 crystal shards,Большой кристалл дает вам 30 хрустальных осколков,Величезний кристал дає вам 30 кришталевих шматочків
Big Crystal Description_2,Big Green Crystal provides 40 crystal shards,Большой кристалл дает вам 40 хрустальных осколков,Величезний кристал дає вам 40 кришталевих шматочків
Big Crystal Description_3,Big Green Crystal provides 50 crystal shards,Большой кристалл дает вам 50 хрустальных осколков,Величезний кристал дає вам 50 кришталевих шматочків
Big Crystal Description_4,Big Green Crystal provides 60 crystal shards,Большой кристалл дает вам 60 хрустальных осколков,Величезний кристал дає вам 60 кришталевих шматочків
Big Crystal Description_5,Big Green Crystal provides 70 crystal shards,Большой кристалл дает вам 70 хрустальных осколков,Величезний кристал дає вам 70 кришталевих шматочків
First Character Name,Wanderer,Cкиталец,Блукач
Seceond Character Name,Living Armor,Живой Доспех,Живі Обладунки
Third Character Name,UR-900,UR-900,UR-900
